Likely to Change Occupation,Geographic Mobility,Professional Networks,Job Satisfaction,Work-Life Balance,Skills Gap,Salary,Job Security,Years of Experience,Age,Job Opportunities,Industry Growth Rate
1,0,6,8,8,2,45510,9,8,32,58,Low
0,0,10,7,10,7,160348,2,33,49,49,Medium
1,1,2,1,1,9,80778,5,4,59,70,High
0,0,7,6,9,2,174348,2,19,54,58,Medium
1,0,6,3,9,1,62243,1,26,57,20,Medium
1,0,10,4,9,9,180814,9,9,55,45,Low
1,0,6,4,2,9,158986,4,28,37,68,Medium
1,1,8,4,9,4,81861,4,34,56,22,Medium
1,0,6,1,6,5,183681,5,39,59,38,Low
1,0,1,5,5,10,37929,6,35,57,84,Medium
0,0,2,6,7,1,86887,6,27,36,52,Low
1,0,4,3,9,6,137845,4,6,55,93,High
1,1,4,2,9,6,199793,2,7,53,65,Low
0,0,6,5,5,10,142131,6,26,55,46,Medium
1,1,1,1,2,7,47611,3,29,54,56,Low
0,0,4,8,2,2,138211,8,30,40,11,High
1,1,4,9,4,7,198069,7,10,39,27,Low
1,1,2,3,1,2,153127,3,10,44,63,High
1,0,6,2,5,9,123150,10,4,20,59,High
0,0,10,7,10,9,195121,8,7,55,29,Low
1,0,3,8,5,6,49278,4,3,26,93,Medium
0,1,2,10,10,5,78144,3,36,55,3,Medium
0,0,5,10,6,8,148298,5,12,57,79,Medium
1,0,10,3,2,5,125879,5,12,39,77,Medium
1,1,5,2,1,10,66606,5,6,59,75,Medium
1,1,10,9,3,8,36571,6,5,33,80,Low
0,0,2,5,9,4,79927,8,30,40,21,High
0,0,9,9,2,6,92666,5,16,25,46,Medium
0,0,8,5,3,1,91248,3,27,41,94,Medium
1,0,6,2,1,9,35576,6,29,56,88,Medium
0,1,7,10,5,1,153233,8,38,43,76,Low
1,0,10,2,10,4,107741,8,25,22,21,Medium
1,1,2,4,4,6,152795,10,25,57,43,Low
1,0,8,5,6,1,178200,9,10,37,76,High
0,1,4,10,1,2,56075,5,11,53,50,High
1,0,4,5,7,6,126059,2,4,36,42,Medium
1,0,1,4,10,1,128564,6,10,53,81,Medium
0,0,6,6,7,6,113709,3,24,37,66,High
0,0,7,7,5,3,82064,3,25,25,38,High
0,0,8,8,1,5,105070,7,36,24,84,Medium
0,1,6,7,10,8,176679,2,21,36,6,High
1,0,6,7,3,7,35004,7,28,21,26,High
0,0,10,8,10,6,167017,4,1,38,63,High
0,0,4,6,4,2,63767,9,0,24,68,Low
1,1,5,3,10,7,140340,7,0,45,2,Low
0,0,2,10,2,3,163105,6,31,49,71,Low
0,0,10,7,6,3,158022,3,17,37,60,High
1,1,8,2,5,7,188053,6,18,56,74,High
0,0,1,7,6,9,86015,2,26,48,74,Medium
0,0,4,5,3,10,57668,6,37,27,7,Medium
0,0,9,9,2,3,55965,2,36,27,81,Medium
1,1,4,2,3,10,50570,5,12,40,49,Medium
1,0,2,3,7,1,181514,5,23,21,70,High
1,1,10,10,4,5,107478,6,19,50,11,Low
1,1,8,1,5,3,83743,9,16,22,87,Low
0,1,2,9,10,1,65060,8,27,59,27,Medium
0,0,6,9,1,4,139706,10,9,56,14,High
0,0,8,10,3,8,56472,3,38,35,56,High
1,0,5,4,7,9,78458,8,26,47,32,High
0,1,5,10,9,10,53591,7,0,53,33,High
1,0,2,3,2,10,50904,9,30,43,24,Low
1,0,5,5,9,9,34330,6,25,36,33,Low
0,0,9,9,7,5,93416,8,16,51,72,Low
1,1,6,1,10,5,178703,1,24,54,81,High
1,0,4,2,7,6,40736,7,37,44,28,High
1,0,10,4,3,10,79905,4,21,46,29,Low
1,0,4,2,10,5,131396,6,5,48,12,Low
0,1,2,8,2,9,53784,6,2,50,56,High
0,0,2,9,6,8,110653,1,7,51,91,Low
1,0,7,1,5,3,144805,5,3,39,17,Low
1,1,5,6,8,10,46154,6,22,27,57,Medium
1,1,9,10,3,5,31148,2,6,58,19,Low
1,0,10,6,6,3,39494,3,21,38,88,Medium
1,0,9,3,5,1,188828,2,24,25,23,High
1,0,6,1,2,3,90986,1,15,38,65,Low
1,0,10,4,8,5,149868,6,8,44,74,Medium
1,1,3,4,5,2,157370,8,6,35,19,High
0,0,6,7,3,6,126199,6,34,34,99,High
1,0,9,1,6,8,132765,7,13,55,16,Low
0,0,9,5,8,9,66740,7,28,37,51,High
1,0,5,8,1,1,160651,10,1,53,62,Medium
0,0,6,9,7,9,72624,9,7,42,1,Medium
0,0,1,5,2,2,93178,6,5,44,47,High
1,1,5,1,2,2,152030,1,6,41,21,Low
0,1,10,10,4,9,106565,6,32,42,5,High
1,0,8,4,4,9,62263,4,3,36,34,Low
1,0,1,2,2,10,57456,8,34,29,5,Medium
0,0,10,8,3,9,163955,9,34,44,64,High
0,0,9,5,1,2,154743,8,24,27,71,Medium
1,0,3,2,4,7,43597,7,6,31,14,High
1,0,9,7,2,6,44778,5,33,52,33,Low
0,0,7,5,8,1,59301,7,23,27,100,Low
1,0,9,4,4,1,146558,5,35,43,93,Medium
1,1,3,7,5,9,39681,3,5,41,43,Low
0,0,5,7,4,7,71081,3,39,28,13,High
0,1,10,5,3,1,181423,8,2,34,39,Low
1,0,5,3,9,7,52934,7,16,50,95,Low
1,0,10,3,6,7,67524,4,34,57,19,Medium
0,0,4,9,2,5,78859,9,37,30,67,Low
1,0,6,3,9,2,72469,8,39,47,98,High
1,0,9,3,6,1,140577,5,18,43,21,Low
1,1,9,2,10,1,140558,4,34,55,39,Medium
0,0,9,7,4,9,191016,8,32,49,97,Low
0,1,1,5,10,5,87941,9,36,53,46,Low
1,0,10,1,3,5,80018,6,27,49,100,Low
1,0,5,1,7,3,100072,9,21,38,12,Low
1,1,3,2,4,8,104974,8,23,23,77,Medium
0,0,2,5,9,2,134884,6,27,57,88,High
0,0,6,10,1,4,136440,4,37,25,34,Low
0,1,10,8,8,8,116395,9,16,55,10,Low
1,0,6,4,2,5,97811,9,3,58,68,Low
0,0,5,9,10,4,151146,8,24,23,49,Low
1,0,7,6,9,9,84087,2,12,31,3,Low
0,1,3,10,9,6,157386,5,7,38,40,High
1,0,1,1,4,9,116543,7,33,45,30,Low
0,0,6,7,4,6,132376,6,0,33,16,High
1,0,4,4,8,9,98722,8,21,36,43,Low
0,0,8,9,5,4,88796,2,21,58,76,Medium
0,1,10,6,1,9,199215,8,12,29,50,High
1,0,3,2,8,9,182595,1,36,26,71,High
0,0,4,9,2,7,131050,9,17,49,85,Medium
0,0,10,8,4,6,188185,10,24,33,66,High
0,1,1,10,4,4,92527,3,35,50,85,Medium
1,1,1,4,7,10,70424,3,32,34,55,High
0,1,5,8,4,7,121745,1,30,44,34,High
1,0,10,4,9,8,179514,9,36,42,40,Low
0,0,5,9,7,3,169160,5,38,27,78,High
1,0,3,9,7,7,59013,10,13,47,24,Low
1,1,3,3,2,2,127389,8,13,33,42,High
0,0,4,9,1,10,136228,9,3,35,36,High
0,0,7,6,6,7,100386,6,1,45,8,High
0,0,3,7,8,9,141955,2,6,50,70,Low
1,1,3,4,8,2,192120,7,14,48,83,Medium
1,0,6,7,7,6,93996,4,23,45,37,Medium
1,0,1,1,9,10,178503,4,0,56,58,Low
1,0,6,10,5,9,190876,1,11,39,93,High
0,0,5,10,4,7,57009,6,27,33,69,High
0,0,5,7,2,8,158579,5,38,38,56,High
1,0,7,2,6,6,73442,4,1,29,28,Medium
0,1,3,9,8,2,181916,4,3,29,94,Medium
0,0,4,9,4,8,67331,3,3,32,56,Low
1,0,1,9,2,9,39436,4,2,53,59,Medium
1,1,6,4,10,5,188067,1,22,57,37,Low
1,0,6,4,4,2,97826,5,23,35,69,Medium
1,1,8,3,10,5,90089,5,1,32,72,Low
0,0,1,10,5,10,58553,3,32,21,88,Medium
1,0,8,2,7,2,120291,5,16,49,95,High
0,0,10,7,6,3,63170,3,35,51,40,High
1,0,4,2,10,5,44452,3,28,23,82,High
0,1,3,10,8,1,96685,10,20,52,97,Medium
1,1,4,3,9,2,108591,2,7,47,77,Medium
1,0,3,2,7,4,84967,1,3,26,16,Low
0,1,6,10,5,3,76009,4,27,52,47,Low
0,0,8,7,10,5,109938,3,32,21,69,High
1,1,7,3,7,1,143541,8,34,34,69,Low
1,1,6,3,9,5,84255,4,21,54,2,Medium
0,0,8,7,4,2,152544,8,35,36,89,High
1,0,8,1,3,3,39062,1,35,38,88,Medium
0,0,8,9,4,6,193938,9,39,21,46,Medium
1,1,10,4,6,7,133755,5,1,42,5,Medium
1,0,4,5,6,8,50630,7,31,43,64,Low
1,0,9,4,6,6,112176,5,20,49,75,High
0,0,2,9,6,3,99705,6,35,43,63,High
0,0,7,6,5,4,145619,9,29,56,2,Low
1,0,8,2,9,1,138374,10,35,29,39,Medium
1,1,9,4,10,4,164710,1,5,50,84,Medium
0,0,9,7,6,2,85569,6,28,43,3,Low
1,1,7,6,6,2,105318,1,1,49,57,Medium
0,0,9,8,9,10,61224,5,39,35,26,Medium
1,0,10,6,10,10,162826,10,35,57,80,High
1,0,4,3,2,9,163023,3,8,53,81,High
1,0,2,1,5,2,54124,5,21,54,100,Medium
1,1,7,10,10,2,48064,6,7,52,25,Medium
1,0,6,5,7,7,133654,5,14,43,82,Medium
1,0,9,3,8,10,119298,10,8,30,35,Medium
1,1,9,6,2,4,114121,8,12,46,2,Medium
0,1,4,8,7,1,163141,10,5,56,99,Low
1,1,10,3,3,6,128582,3,17,40,66,High
1,1,8,1,4,3,110020,6,21,51,1,Low
1,0,8,8,9,6,42368,4,36,57,9,Medium
1,0,5,1,4,2,119523,10,39,34,18,Low
1,1,3,1,9,1,106354,6,10,27,59,High
1,0,9,2,1,9,133987,4,28,35,37,High
1,1,5,4,1,10,101610,9,22,45,9,Medium
1,0,4,3,6,3,169281,3,24,25,10,High
1,0,5,3,3,8,135600,10,32,54,78,High
1,1,7,4,10,3,78763,2,28,29,62,Low
1,1,10,4,10,7,124018,5,26,21,26,Medium
1,0,9,5,8,6,36615,2,8,20,54,High
1,0,9,5,7,3,42104,8,11,45,15,Medium
1,0,6,1,5,1,88430,10,21,41,27,High
1,0,3,2,9,4,35855,8,36,41,11,Medium
1,1,2,7,3,9,34197,6,32,26,54,Low
0,0,6,8,4,9,91796,4,11,56,90,High
0,0,1,6,4,5,108879,3,28,52,38,Low
1,0,8,2,8,4,42002,2,15,46,4,Medium
1,0,3,4,9,5,67683,6,15,23,70,Low
0,0,5,7,7,10,176810,9,28,36,81,Low
0,1,9,7,2,9,170350,2,26,22,81,Medium
0,0,1,9,4,1,150579,3,37,27,43,Medium
1,1,2,4,3,4,148042,8,4,59,82,Medium
1,0,6,10,1,10,30485,2,31,22,70,Low
1,1,7,9,10,8,53831,6,25,38,98,Low
0,0,6,9,5,4,119792,4,29,56,18,High
0,0,10,5,9,9,188920,6,2,29,27,Medium
1,0,7,4,5,4,51123,5,5,36,31,Low
0,0,2,5,2,7,96232,7,24,54,17,Medium
0,0,7,7,10,3,177456,10,23,26,58,High
0,0,7,6,3,6,172045,6,12,48,37,High
0,0,10,10,10,3,100671,10,30,26,42,Medium
1,0,7,7,7,2,96479,7,22,55,19,Low
1,0,1,7,10,6,66823,6,3,25,49,High
1,0,8,9,7,8,91664,6,29,31,42,High
0,0,2,7,10,7,197911,1,4,57,42,High
0,0,3,5,10,8,162790,8,24,58,39,High
0,0,7,6,4,5,96841,6,27,49,40,Medium
0,0,10,5,1,5,179107,8,25,43,40,Medium
0,1,7,7,3,10,124020,2,33,50,85,Low
0,1,9,9,2,7,166122,8,22,24,84,Medium
0,1,7,6,1,8,115221,2,36,22,53,Low
0,0,4,9,8,1,169146,5,37,50,42,Medium
1,1,7,8,2,7,122406,10,18,40,10,Low
1,0,9,4,2,9,78303,1,22,55,58,Medium
1,0,2,1,6,7,45974,9,10,27,56,Low
1,1,5,7,8,8,154612,8,38,32,50,Low
0,0,1,8,6,2,136962,10,24,25,81,Medium
1,0,6,2,6,3,101732,7,19,42,24,High
1,0,5,1,6,2,93890,2,34,21,18,High
1,0,10,1,5,5,174347,8,14,55,25,Medium
0,0,7,9,5,2,171415,5,21,52,51,High
1,0,3,9,1,8,47772,5,32,56,59,Medium
0,0,2,10,8,3,128740,3,18,42,43,High
1,0,4,2,10,1,167000,10,30,24,43,Medium
1,0,8,1,2,5,198730,8,23,33,94,Medium
0,0,3,6,4,4,177701,2,10,39,47,Low
1,0,7,4,1,8,33867,6,7,54,74,Low
0,0,10,6,1,3,145497,6,9,51,62,High
0,1,8,8,10,1,167760,2,27,52,31,High
1,0,2,2,6,4,73495,5,38,21,32,High
0,0,10,10,4,4,105512,4,30,24,1,Low
1,1,3,5,2,2,44730,9,19,29,86,High
0,1,4,10,10,1,188474,9,37,21,36,Low
1,1,5,1,2,3,45399,4,13,51,62,Medium
0,0,10,9,1,2,122961,3,9,37,64,High
0,1,1,6,1,10,153091,3,6,47,10,Medium
0,1,3,7,3,7,61794,9,19,56,25,Low
0,0,3,5,7,8,115808,1,37,49,29,Low
0,0,8,6,10,9,53925,6,18,41,47,High
1,0,2,5,9,10,45164,3,35,45,91,Medium
1,0,6,2,3,4,34825,2,26,41,27,High
1,1,2,4,4,6,147159,5,30,52,39,Low
0,0,9,8,10,10,189102,8,39,48,72,Medium
0,1,9,6,7,9,178399,7,13,36,71,High
1,0,9,2,4,5,196242,8,1,39,51,Low
1,0,3,3,7,4,105840,9,28,48,29,Low
0,0,5,8,7,8,86864,9,22,48,15,Low
1,1,1,3,3,10,52103,5,25,56,65,Low
1,0,4,1,2,5,72804,5,14,57,74,Medium
1,0,6,1,8,5,35093,5,27,35,41,Medium
0,1,6,7,10,1,113597,1,19,30,8,Low
1,0,5,4,3,10,105162,4,6,41,19,Low
0,0,10,5,2,6,64649,5,17,21,72,High
1,1,5,3,1,7,186727,8,2,29,20,Low
1,0,10,1,4,5,167912,7,1,54,19,Low
0,0,2,6,4,2,61551,3,20,45,50,Low
1,0,7,3,8,10,133675,3,10,35,59,Low
1,0,7,2,7,1,159881,8,20,22,2,Low
0,1,10,6,1,10,103930,4,27,29,64,Low
0,1,7,8,6,6,59749,5,24,53,70,High
1,1,10,7,3,8,58529,9,29,46,21,Medium
1,1,4,2,6,6,83444,6,15,39,20,High
0,1,10,8,10,7,197485,3,31,42,24,Low
1,0,8,4,3,1,138301,1,10,22,70,Low
0,0,1,5,8,2,167568,6,10,58,63,Low
0,1,10,9,5,9,67515,2,0,51,65,Low
0,1,2,5,2,8,176585,9,30,40,56,Medium
0,1,8,6,6,5,124728,7,9,51,33,Low
1,0,9,2,6,5,163998,2,0,53,63,Medium
0,1,7,5,2,1,127740,4,7,28,81,Medium
1,0,5,4,8,2,187300,2,8,36,66,Medium
1,0,3,1,6,5,90303,5,15,49,9,Medium
0,0,3,6,5,5,146284,8,22,53,27,High
1,1,1,2,3,2,81773,3,10,29,60,Medium
0,0,4,8,8,6,185982,3,14,53,73,Medium
0,0,4,8,5,5,67306,7,18,21,70,High
1,0,7,8,10,7,31048,4,8,21,37,Medium
1,0,6,10,10,5,157471,6,27,31,52,Medium
0,0,4,6,10,9,134303,2,14,34,65,High
0,1,6,5,1,4,87124,3,20,31,100,Medium
1,0,6,3,3,5,178279,9,15,22,37,Low
0,0,1,6,7,7,61262,3,15,29,71,Medium
1,1,4,2,5,1,157139,8,33,59,97,Low
0,1,7,6,9,8,53519,2,9,59,39,Low
0,0,2,5,2,2,163410,1,6,27,55,High
1,1,9,3,4,8,45030,4,9,24,38,Medium
0,0,7,7,1,6,69011,6,3,37,27,Low
1,1,6,2,2,8,70117,4,9,33,30,Medium
1,1,10,5,4,2,105194,3,5,30,46,Medium
1,0,7,4,1,3,155933,5,25,47,21,Medium
1,0,6,4,7,7,190935,1,27,41,19,Low
1,1,4,3,10,10,129371,2,38,57,23,Low
0,0,7,5,3,5,124959,2,26,38,41,Medium
0,0,6,6,8,6,158208,6,3,59,51,Medium
0,0,5,7,1,8,191651,10,39,54,93,Medium
1,0,6,4,6,9,81746,2,20,58,16,Medium
0,1,10,7,3,10,105378,6,4,54,43,High
0,1,9,6,5,2,178719,10,34,55,3,High
0,0,3,6,8,8,146036,8,12,47,90,High
1,0,4,2,7,5,34740,9,29,40,33,Low
1,1,10,2,6,3,197900,2,9,46,91,High
1,1,4,3,6,2,86426,1,4,30,6,High
1,0,1,4,9,7,118475,7,31,23,56,Low
1,0,10,2,9,10,163383,1,38,28,4,Medium
0,0,4,5,6,1,89124,1,4,29,47,High
1,0,6,4,6,7,54715,3,33,34,96,Low
0,0,1,8,5,10,85664,7,38,30,53,Medium
1,1,7,8,7,7,83836,8,30,49,79,Low
1,1,6,2,5,7,166584,4,26,56,4,Low
1,0,10,6,1,7,48404,4,1,29,5,High
1,0,4,9,3,7,191160,5,10,44,81,Low
0,0,8,7,10,8,111075,10,17,45,93,Medium
0,0,8,5,9,9,174269,5,13,28,75,Medium
1,0,1,4,5,8,122260,5,12,26,21,High
1,1,7,6,3,9,191558,1,11,45,16,High
1,0,9,5,6,5,104300,6,19,58,97,Low
0,0,8,6,6,9,151563,1,14,56,64,Low
1,0,9,4,7,2,166127,8,25,38,11,Low
0,0,9,7,9,8,101507,1,18,34,45,Medium
1,0,3,7,8,1,135539,4,29,56,63,High
1,0,8,4,6,9,97193,8,4,34,31,Medium
1,0,9,2,8,5,159946,5,14,30,73,Medium
0,0,3,5,1,7,163178,4,4,32,9,Medium
1,0,9,2,9,6,44827,9,3,51,44,High
0,1,4,9,1,5,136337,4,9,52,74,High
1,1,7,3,3,2,34466,3,8,55,90,High
1,1,6,2,1,6,176502,8,22,30,11,High
1,0,3,5,4,2,72702,5,26,21,99,Medium
1,0,10,4,2,10,104427,9,15,20,45,Low
0,0,10,8,6,2,59534,3,28,39,24,Low
1,0,7,1,1,5,35642,6,25,54,60,High
0,0,1,10,8,10,169178,3,3,26,17,High
1,1,10,4,5,10,166247,3,32,21,97,Low
0,0,2,6,4,6,72134,1,0,34,51,Medium
1,0,7,4,2,2,71193,2,36,58,56,Medium
1,0,10,5,5,2,46871,2,22,43,48,High
0,0,4,8,1,9,186267,10,34,42,75,Low
1,0,1,7,7,10,37553,2,27,44,32,Low
1,0,8,2,2,6,95888,4,37,36,8,High
0,0,5,7,9,8,86554,10,5,36,7,High
1,0,9,2,3,8,122216,9,37,33,33,Medium
0,1,5,6,9,1,174972,8,7,21,5,High
0,0,3,10,7,4,185424,1,3,25,75,Low
0,0,3,8,1,5,142847,9,27,52,30,High
0,0,2,10,8,2,148421,1,27,52,60,Low
0,0,4,9,6,3,130440,2,2,51,23,Low
1,0,9,1,9,5,145751,5,22,34,3,High
0,1,2,10,8,8,124967,1,22,33,72,Medium
0,1,9,7,8,1,135165,4,37,31,9,Low
1,0,5,4,9,8,192838,1,32,45,31,High
0,0,8,9,3,3,61584,4,20,46,76,Medium
1,0,9,2,10,8,141679,5,10,45,18,High
1,0,10,4,5,9,161809,8,13,37,41,Medium
0,0,9,9,10,2,118315,6,22,48,83,High
1,1,4,5,9,7,45801,3,28,40,30,Low
1,0,5,3,1,4,76974,9,1,55,42,High
0,0,1,7,6,7,90624,9,6,59,72,High
1,0,10,4,7,3,118322,9,32,44,16,Low
1,1,8,1,7,8,116184,4,8,56,63,High
1,0,9,4,1,5,85993,2,16,45,23,Medium
1,0,8,5,7,2,178066,8,10,36,17,Low
1,0,8,1,8,10,113557,6,38,57,13,Low
0,0,1,10,5,7,144815,6,31,44,58,High
1,0,1,4,3,9,86951,9,15,40,28,High
0,1,3,5,7,3,165749,1,25,47,32,Medium
1,0,8,7,5,2,39632,4,9,24,93,High
1,0,8,4,8,5,157797,9,21,50,82,Low
1,0,4,2,9,2,43789,1,13,24,83,High
1,0,2,4,1,4,174824,9,19,20,80,Medium
0,0,4,10,3,3,183903,7,34,38,66,Medium
0,0,8,10,7,2,143662,8,2,43,47,High
1,0,7,6,7,5,197041,7,1,33,1,Medium
0,1,2,5,4,3,167910,2,2,48,76,High
0,1,2,8,3,10,193135,4,38,52,46,Low
1,0,4,3,8,9,132143,9,29,20,32,Low
1,0,6,9,2,10,44620,4,18,21,54,High
1,0,2,2,3,7,157383,5,17,31,29,Low
1,0,7,4,10,8,109000,6,25,29,89,High
1,1,8,3,4,4,128343,8,11,51,47,Low
0,1,7,9,1,2,81496,10,14,57,91,Low
1,0,7,3,10,1,195058,2,23,29,23,Low
0,1,10,9,4,10,117734,10,4,45,33,High
0,0,1,9,3,1,159592,8,5,52,79,Medium
0,0,5,5,5,1,196688,6,7,50,73,High
0,1,1,5,9,9,168339,5,0,50,79,High
1,0,10,1,8,9,74399,8,11,24,76,High
1,1,7,2,2,10,52223,2,32,36,50,Low
0,0,7,10,3,5,144314,3,11,38,90,High
1,1,7,5,9,7,58679,10,20,54,39,Low
1,0,7,3,1,3,53554,3,15,20,43,High
1,0,4,4,10,6,39785,6,19,24,2,Low
1,1,6,3,4,4,148970,6,6,31,17,Low
1,0,7,4,5,5,198114,3,15,56,57,High
1,0,5,1,1,5,83458,1,14,34,13,Low
1,0,9,1,8,8,161464,9,4,27,82,Medium
1,0,8,3,7,3,58808,6,20,41,63,High
0,0,7,5,1,4,116865,1,13,57,71,High
1,0,10,2,6,10,169345,6,0,40,74,Low
0,0,7,6,2,3,112790,5,29,25,1,Medium
1,1,9,10,2,2,98499,5,8,52,44,Low
0,1,5,10,5,6,182782,1,5,54,77,Medium
0,0,8,7,5,4,77462,5,29,51,99,Low
0,0,1,10,6,7,112265,1,26,48,84,High
0,1,5,6,10,6,104682,3,0,47,80,High
0,1,3,9,7,9,195455,9,14,44,78,Medium
1,0,2,3,8,9,52291,9,29,41,89,Low
1,1,8,1,7,6,171445,4,1,43,31,Low
1,1,1,2,10,3,183886,5,8,39,59,High
1,0,9,3,2,4,121599,9,38,37,91,Low
0,1,2,7,8,3,140521,1,15,53,99,High
0,1,1,10,10,4,56135,10,23,40,43,High
1,0,9,3,7,6,109637,9,8,46,44,Medium
0,0,5,6,1,2,78683,9,37,28,56,Low
0,0,2,5,4,10,195976,3,21,34,98,High
0,0,3,8,10,2,118584,6,26,55,15,High
0,1,3,5,6,4,64849,7,17,27,26,Low
1,0,9,3,1,2,197924,1,24,32,83,Low
1,0,4,1,5,7,78280,9,25,46,16,High
1,0,3,7,7,6,48372,4,18,38,57,Low
0,0,10,7,3,5,198082,3,0,25,56,Medium
0,0,8,9,2,10,153698,10,0,32,71,Medium
1,0,9,3,1,2,45747,9,30,40,29,Medium
0,0,7,6,4,8,189426,2,31,44,48,High
1,0,5,2,8,2,164300,8,26,36,36,Medium
1,0,1,6,5,10,81043,8,23,23,77,High
0,1,7,5,6,8,57538,7,35,42,89,Medium
1,0,5,4,4,6,105672,5,6,43,32,Medium
0,0,10,7,8,2,193004,5,12,26,61,High
1,1,5,4,9,10,31401,8,4,46,71,Low
0,0,1,10,10,4,64287,8,6,53,59,High
1,0,4,2,1,10,139408,1,16,29,71,Low
1,0,2,2,9,4,91372,10,27,52,85,Medium
0,0,4,5,9,1,59089,6,22,42,41,High
1,0,3,5,1,8,94078,9,16,24,76,High
0,1,2,8,1,7,65309,3,16,36,5,High
0,0,9,7,6,6,117934,4,8,40,5,Medium
0,0,6,10,6,2,136348,4,38,55,81,Medium
0,0,5,6,9,5,124365,1,23,59,66,Low
1,1,1,7,8,3,44767,2,10,42,48,High
0,1,10,8,8,1,165435,4,33,26,21,Medium
0,1,1,6,4,4,112115,2,27,42,48,Low
0,0,1,7,1,10,194924,2,22,35,15,Medium
1,0,6,2,2,2,177911,1,36,47,16,Low
0,0,10,5,3,9,170951,6,12,26,8,Medium
0,0,9,6,10,3,173169,4,35,23,43,High
0,0,10,7,3,9,177746,1,36,27,21,High
0,0,8,7,4,4,74707,8,13,55,64,Medium
1,1,2,5,7,1,84661,5,9,22,92,Low
1,0,4,3,1,6,172937,7,16,41,29,Low
1,0,2,5,8,4,90796,4,34,23,77,Low
1,0,7,3,5,2,63806,7,19,51,32,Medium
1,0,4,1,8,2,164192,10,10,43,80,High
0,0,5,7,10,6,103590,6,38,59,76,Medium
0,0,10,5,10,6,138590,6,28,53,72,High
1,0,4,4,5,9,178555,10,2,32,83,Low
0,0,4,5,9,5,113100,8,21,49,38,High
1,0,10,3,4,5,175169,5,16,46,26,Medium
0,0,7,10,7,8,103470,8,32,39,74,High
0,1,7,8,2,7,85962,7,11,25,87,High
1,0,8,1,7,3,73125,8,13,54,14,High
1,1,4,4,9,4,102779,1,30,52,83,Medium
1,0,3,5,5,2,89145,7,10,58,8,High
1,1,9,1,9,3,190078,4,21,48,64,Medium
0,0,8,10,5,10,53879,3,37,29,22,High
1,0,5,1,5,7,85514,10,34,39,74,Low
1,0,4,7,7,10,148190,1,5,45,44,High
0,0,3,8,2,6,128534,2,9,25,33,Medium
1,0,2,3,5,6,148032,6,3,39,15,Medium
1,0,1,6,7,1,163870,6,32,44,83,Medium
1,0,8,2,1,10,40159,1,26,30,42,Medium
0,1,8,6,5,8,188843,1,16,26,51,Low
0,0,2,6,4,9,182441,4,39,46,94,Medium
1,1,10,1,7,1,125683,4,4,45,21,High
0,1,5,10,7,5,54257,6,16,23,92,High
0,0,5,6,8,5,71064,9,5,35,85,Medium
1,0,4,5,3,1,31333,6,25,35,46,High
0,1,9,7,2,7,107146,7,26,25,33,Medium
1,1,1,3,1,10,185888,7,3,26,40,Medium
1,0,4,3,2,7,118075,8,20,58,68,Low
0,0,8,8,1,7,122828,3,3,24,27,High
1,0,8,2,7,10,54119,2,33,55,42,Low
1,1,6,4,7,4,59951,2,24,51,25,High
0,0,3,10,7,3,188849,6,29,33,15,Medium
0,0,6,8,10,2,111527,2,38,55,88,High
0,0,2,6,10,1,139884,6,33,50,22,High
0,1,5,7,2,3,171446,8,32,36,24,Low
1,0,6,8,5,8,34986,3,10,35,43,High
1,0,8,3,3,4,99759,4,24,42,38,High
1,0,1,8,8,9,40555,4,15,35,9,Low
1,1,1,1,4,2,179219,7,16,56,80,Medium
1,0,1,8,7,7,162929,3,21,30,23,Low
0,0,6,8,7,7,167882,9,25,48,26,High
1,0,3,2,5,10,149618,10,17,56,55,Medium
1,1,3,6,5,6,85366,3,33,29,68,High
0,0,6,6,2,7,124078,9,18,42,95,Medium
1,0,4,2,10,1,108947,3,4,26,33,Medium
1,0,10,1,6,10,198870,4,5,34,64,Low
1,0,2,4,4,7,55669,1,18,47,63,High
0,1,10,8,7,9,136123,9,30,50,32,Medium
0,1,8,8,6,5,109896,8,21,27,83,High
0,0,10,9,3,8,60961,1,29,34,96,Low
1,0,6,1,6,7,174652,4,37,24,52,Medium
1,0,4,4,3,5,40208,4,11,31,77,Low
1,0,1,6,4,7,143219,3,15,21,25,High
0,0,1,7,4,6,105783,10,30,25,81,High
0,0,7,9,1,3,89299,7,7,35,83,Low
0,0,1,7,2,5,102878,2,22,28,22,High
1,1,1,3,6,4,95562,10,3,36,53,High
1,0,8,1,10,2,66865,3,20,54,46,Medium
1,1,1,2,5,9,191922,9,28,28,66,Medium
1,0,3,1,6,8,124441,6,23,47,59,Low
0,0,7,9,7,4,141988,2,15,59,80,Low
0,1,4,7,7,1,61827,10,38,50,3,Medium
0,0,7,6,8,9,120378,10,3,30,17,Medium
1,0,1,1,8,2,56445,5,14,58,3,High
1,0,9,2,7,3,185350,10,12,42,12,Low
1,1,7,8,6,3,51734,2,20,59,18,Medium
1,0,10,7,7,5,38357,10,34,52,84,Low
0,1,4,6,6,5,152065,7,5,37,14,Medium
1,0,8,9,2,9,119785,7,15,21,71,Low
0,0,9,5,7,2,110969,1,10,48,56,High
1,1,6,1,1,4,155005,7,10,27,24,Low
1,0,6,10,2,9,104876,3,39,20,14,Medium
1,0,8,5,10,4,41079,8,34,59,74,Medium
1,0,2,10,1,9,137947,8,3,46,86,Low
1,0,9,5,3,4,49114,9,16,41,21,Low
